Accepted Symbol,Scientific Name,Common Name,State and Province,Duration,Growth Hit,Native Status,Invasive,Image Gallery,Active Growth Period,After Harvest Regrowth Rate,Flower Color,Flower Conspicuous,Fruit Color,Fruit Conspicuous,Growth Rate,"Height, Mature (feet)",Lifespan,Toxicity,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Drought Tolerance,Moisture Use,Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,Bloom Period,Fruit/Seed Period Begin,Fruit/Seed Period End
ABAM,Abies amabilis,Pacific silver fir,"[AK, CA, OR, WA]",Perennial,Tree,Native,,Photo,Spring and Summer,,Yellow,No,Brown,No,Slow,165,Long,None,Yes,Yes,Yes,Low,Medium,260,36,None,Tolerant,Late Spring,Summer,Fall
ABBA,Abies balsamea,balsam fir,"[CT, IA, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VA, VT, WI, WV]",Perennial,Tree,Native,,Photo,Spring and Summer,,Yellow,No,Brown,No,Slow,60,Short,None,Yes,Yes,Yes,Low,Medium,60,20,None,Tolerant,Mid Summer,Fall,Fall
ABCO,Abies concolor,white fir,"[AZ, CO, ID, MA, ME, NM, NV, OR, UT, WY]",Perennial,Tree,Native,,Photo,Spring and Summer,,Red,No,Brown,No,Slow,120,Long,None,Yes,Yes,No,Medium,Medium,80,40,None,Intermediate,Late Spring,Summer,Fall
ABFR,Abies fraseri,Fraser fir,"[GA, NC, TN, VA]",Perennial,Tree,Native,,Photo,Spring and Summer,,Purple,No,Brown,Yes,Moderate,55,Moderate,None,Yes,Yes,No,Low,Medium,100,6,Low,Tolerant,Mid Spring,Spring,Fall
ABGR,Abies grandis,grand fir,"[CA, ID, MT, OR, WA]",Perennial,Tree,Native,,Photo,Spring and Summer,,,No,Brown,No,Moderate,150,Long,None,Yes,Yes,No,Medium,Medium,100,20,None,Tolerant,Late Spring,Summer,Fall
ABGR4,Abelia ×grandiflora,glossy abelia,"[FL, NC]",Perennial,Shrub,Introduced,,Photo,"Spring, Summer, Fall",,Purple,Yes,Brown,No,Rapid,4.0,Long,None,Yes,Yes,No,Low,Medium,60,12,Low,Tolerant,Late Summer,Fall,Fall
ABLA,Abies lasiocarpa,subalpine fir,"[AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY]",Perennial,Tree,Native,,Photo,Spring and Summer,,,No,Brown,No,Slow,90,Long,None,Yes,Yes,No,Low,Medium,150,40,None,Tolerant,Late Spring,Summer,Fall
ABMA,Abies magnifica,California red fir,"[CA, NV, NY, OR]",Perennial,Tree,Native,,Photo,Spring and Summer,,Brown,No,Brown,Yes,Slow,150,Long,None,Yes,Yes,No,Low,Medium,64,20,Low,Tolerant,Late Spring,Summer,Fall
ABPR,Abies procera,noble fir,"[CA, OR, WA]",Perennial,Tree,Native,,Photo,Spring and Summer,,,No,Purple,Yes,Rapid,230,Long,None,Yes,Yes,No,Low,Low,120,20,None,Intermediate,Late Spring,Spring,Fall
ACCI,Acer circinatum,vine maple,"[AK, CA, OR, WA]",Perennial,"Tree, Shrub, Vine",Native,,Photo,Spring and Summer,,Green,Yes,Brown,No,Moderate,20,Long,None,Yes,Yes,Yes,Low,Medium,80,24,None,Tolerant,Spring,Summer,Fall
ACCO4,Aconitum columbianum,Columbian monkshood,"[AZ, CA, CO, IA, ID, MT, NM, NV, OR, SD, UT, WA, WY]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,Slow,Blue,Yes,Black,No,Moderate,5.0,Moderate,Moderate,Yes,Yes,Yes,Low,High,50,10,None,Intermediate,Early Summer,Summer,Summer
ACCY2,Acacia cyclops,coastal wattle,[CA],Perennial,Shrub,Introduced,,Photo,Spring and Summer,,Yellow,Yes,Black,Yes,Rapid,12,Short,None,Yes,Yes,Yes,High,Medium,40,18,Medium,Intolerant,Mid Spring,Summer,Fall
ACFL,Acer floridanum,southern sugar maple,"[AL, AR, FL, GA, IL, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA]",Perennial,Tree,Native,,,,,,,,,,,,,,,,,,,,,,,,
ACFL,Acer barbatum,,,,,,,Photo,Spring and Summer,,Yellow,No,Red,Yes,Moderate,50,Moderate,None,Yes,Yes,No,Low,Medium,65,24,None,Tolerant,Mid Spring,Spring,Summer
ACGI,Acer ginnala,Amur maple,"[CT, IA, IL, KY, MA, ME, MI, MN, ND, NH, NJ, NY, OH, PA, VT, WI]",Perennial,"Tree, Shrub",Introduced,WI,Photo,Spring and Summer,,White,No,Brown,Yes,Rapid,20,Moderate,None,Yes,Yes,No,Low,Medium,60,24,Medium,Intermediate,Mid Spring,Summer,Fall
ACGL,Acer glabrum,Rocky Mountain maple,"[AK, AZ, CA, CO, ID, MT, NE, NM, NV, OR, SD, UT, WA, WY]",Perennial,"Shrub, Tree",Native,,Photo,Spring and Summer,,Green,No,Brown,No,Rapid,30,Moderate,None,Yes,Yes,No,Medium,Low,60,24,None,Intermediate,Late Spring,Summer,Fall
ACGLD4,Acer glabrum var. douglasii,Douglas maple,"[AK, CA, ID, MT, NV, OR, WA, WY]",Perennial,"Shrub, Tree",Native,,Photo,Spring and Summer,,Green,No,Brown,No,Moderate,30,Moderate,None,Yes,Yes,No,Low,Medium,50,24,None,Tolerant,Late Spring,Summer,Fall
ACGR3,Acer grandidentatum,bigtooth maple,"[AZ, CO, ID, MT, NM, NV, TX, UT, WA, WY]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,Yellow,Yes,Brown,No,Moderate,38,Short,None,Yes,Yes,Yes,Low,Medium,30,24,None,Intermediate,Spring,Summer,Summer
ACHY,Achnatherum hymenoides,Indian ricegrass,"[AR, AZ, CA, CO, ID, KS, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY]",Perennial,Graminoid,Native,,Photo,"Spring, Summer, Fall",Moderate,Yellow,No,Brown,No,Moderate,2.0,Short,None,Yes,Yes,No,High,Low,16,18,Low,Intolerant,Late Spring,Spring,Summer
ACLO,Acacia longifolia,Sydney golden wattle,[CA],Perennial,"Tree, Shrub",Introduced,,Photo,Spring and Summer,,Yellow,Yes,Brown,Yes,Rapid,20,Short,None,Yes,Yes,Yes,High,Medium,40,24,Low,Intolerant,Summer,Summer,Fall
ACMA3,Acer macrophyllum,bigleaf maple,"[CA, OR, WA]",Perennial,Tree,Native,,Photo,Spring and Summer,,Yellow,No,Brown,No,Rapid,60,Moderate,None,Yes,Yes,Yes,Low,Medium,260,24,None,Intermediate,Mid Spring,Summer,Fall
ACME,Acacia melanoxylon,blackwood,"[CA, HI]",Perennial,Tree,Introduced,HEAR,Photo,Spring and Summer,,White,Yes,Brown,Yes,Rapid,40,Short,None,Yes,Yes,Yes,High,Medium,40,28,Low,Intolerant,Early Spring,Summer,Fall
ACMI2,Achillea millefolium,common yarrow,"[AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY]",Perennial,Forb/herb,Introduced,"KY, N'EAST, NE&GP, SWSS",Photo,Spring,Moderate,White,Yes,Brown,No,Moderate,3.0,Moderate,Slight,No,Yes,No,Medium,Medium,60,8,Low,Intermediate,Early Summer,Summer,Summer
